#: table_doi: 10.17182/hepdata.156186.v1/t6
#: name: $\Delta\phi_{ch,Z}$ in PbPb 0-30% for $4 < p_T < 10$ GeV
#: description: The $\Delta\phi_{ch,Z}$ spectra for events with Z boson $p_{T}^Z > 40$ GeV and charged-hadrons with $4 <p_T < 10$ GeV in PbPb for centrality interval of 0-30% collisions.
#: data_file: $\delta\phi_{ch,z}$_in_pbpb_0-30%_for_$4_<_p_t_<_10$_gev.yaml
#: keyword observables: dNchdPhichZ spectra
#: keyword phrases: Inclusive Z | Rapidity | Azimuthal | Differential
#: keyword reactions: PbPb --> Z+X
#: keyword cmenergies: 5020
#: PTZ,,,40 < $p_{T}^{Z}$ < 350 GeV
#: PTCH,,,4 < $p_{T}^{ch}$ < 10 GeV
#: ABS(YZ),,,$|y_Z|$ < 2.4
#: ABS(ETACH),,,$|\eta^{ch}|$ < 2.4
#: SQRT(S)/NUCLEON,,,5020 GeV
#: RE,,,Pb Pb --> Z + X
#: CENTRALITY,,,0--30%
"$\Delta\phi_{ch,Z}$","$\Delta\phi_{ch,Z}$ LOW","$\Delta\phi_{ch,Z}$ HIGH","$d<N_{ch}>/d(\Delta\phi_{ch,Z})$",Stat. +,Stat. -,Syst. +,Syst. -
-1.414,-1.571,-1.257,-0.1295,0.0520,-0.0520,0.1820,-0.1820
-1.0995,-1.257,-0.942,-0.1347,0.0525,-0.0525,0.1875,-0.1875
-0.7849999999999999,-0.942,-0.628,-0.0652,0.0528,-0.0528,0.1821,-0.1821
-0.471,-0.628,-0.314,-0.2317,0.0508,-0.0508,0.1915,-0.1915
-0.157,-0.314,0.0,-0.2366,0.0509,-0.0509,0.1989,-0.1989
0.157,0.0,0.314,-0.2366,0.0509,-0.0509,0.1989,-0.1989
0.471,0.314,0.628,-0.2317,0.0508,-0.0508,0.1915,-0.1915
0.7849999999999999,0.628,0.942,-0.0652,0.0528,-0.0528,0.1821,-0.1821
1.0995,0.942,1.257,-0.1347,0.0525,-0.0525,0.1875,-0.1875
1.414,1.257,1.571,-0.1295,0.0520,-0.0520,0.1820,-0.1820
1.728,1.571,1.885,-0.1857,0.0514,-0.0514,0.1839,-0.1839
2.042,1.885,2.199,-0.0837,0.0535,-0.0535,0.1822,-0.1822
2.356,2.199,2.513,-0.0396,0.0543,-0.0543,0.2011,-0.2011
2.67,2.513,2.827,0.1689,0.0573,-0.0573,0.1822,-0.1822
2.9844999999999997,2.827,3.142,0.8862,0.0673,-0.0673,0.2239,-0.2239
3.299,3.142,3.456,0.8862,0.0673,-0.0673,0.2239,-0.2239
3.613,3.456,3.77,0.1689,0.0573,-0.0573,0.1822,-0.1822
3.9269999999999996,3.77,4.084,-0.0396,0.0543,-0.0543,0.2011,-0.2011
4.241,4.084,4.398,-0.0837,0.0535,-0.0535,0.1822,-0.1822
4.555,4.398,4.712,-0.1857,0.0514,-0.0514,0.1839,-0.1839

